C03. Berapa jumlah perusahaan/ instansi/ institusi yang sudah Anda lamar (lewat surat/ e-mail) sebelum Anda memperoleh pekerjaan pertama?,C05. Berapa jumlah perusahaan/ instansi/ institusi yang mengundang Anda untuk wawancara?,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_4. Penggunaan Teknologi Informasi","[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_11. Melalui relasi (misalnya dosen, orang tua, saudara, teman, dll.)",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_5. Dihubungi oleh perusahaan,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_2. Demonstrasi (Peragaan /Gaya Pembelajaran),"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_3. Bahasa Inggris",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_7. Menghubungi agen tenaga kerja komersial/swasta,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_1. Etika",[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_1. Perkuliahan,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_7. Diskusi,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_12. Membangun bisnis sendiri,S04. Program Studi,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_4. Magang,"[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_1. Melalui iklan di koran/majalah, brosur",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_6. Menghubungi Kemenakertrans,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_3. Pergi ke bursa/pameran kerja,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_14. Bekerja di tempat yang sama dengan tempat kerja semasa kuliah,C04. Berapa jumlah perusahaan / instansi / institusi yang merespon lamaran Anda?,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_2. Melamar ke perusahaan tanpa mengetahui lowongan yang ada,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_5. Komunikasi",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_15. Lainnya : (Tulis jawaban pada pertanyaan berikutnya),[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_9. Menghubungi kantor kemahasiswaan/hubungan alumni,A01. Sertifikasi profesi apa yang Anda dapatkan setelah lulus?,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_6. Kerja Lapangan,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_3. Partisipasi dalam proyek riset,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_4. Mencari lewat internet/iklan online/milis,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_2. Keahlian berdasarkan bidang ilmu
","[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_7. Pengembangan Diri",[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_5. Praktikum,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_8. Memperoleh informasi dari pusat/kantor pengembangan karir fakultas/universitas,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_10. Membangun jejaring (network) sejak masih kuliah,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_13. Melalui penempatan kerja atau magang,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_6. Kerja sama tim",Skor_Inisiatif_Mencari_Kerja,Skor_Rata2_MetodeBelajar,Skor_Rata2_Kompetensi,Target_Klaster,Nama_Pola_Karir
100.0,7.0,2.0,,,2,2.0,,2.0,4,4,,S1 Desain Produk,3.0,,,,,8.0,Pilihan,3.0,,,0,3,3,,3.0,3.0,3.0,,,,3.0,6.0,3.142857142857143,2.5714285714285716,1,Karir Linear
20.0,5.0,5.0,,,2,3.0,,5.0,4,4,,S1 Desain Produk,3.0,,,,,10.0,,5.0,,,0,3,2,Pilihan,4.0,5.0,4.0,,,,5.0,36.0,3.142857142857143,4.571428571428571,1,Karir Linear
5.0,3.0,4.0,Pilihan,Pilihan,1,4.0,,5.0,4,5,,S1 Desain Komunikasi Visual,4.0,,,,,3.0,,5.0,,,,4,4,Pilihan,5.0,4.0,4.0,,Pilihan,,5.0,-2.0,3.7142857142857144,4.571428571428571,1,Karir Linear
200.0,7.0,4.0,,,3,1.0,,5.0,5,4,,S1 Desain Komunikasi Visual,5.0,Pilihan,,,,20.0,,4.0,,,,5,3,,4.0,5.0,5.0,,,,5.0,-4.0,4.285714285714286,4.0,0,Karir Lintas Jalur
10.0,7.0,4.0,,,3,4.0,,4.0,3,3,,S1 Desain Komunikasi Visual,3.0,,,,,7.0,,4.0,,,,3,3,Pilihan,4.0,4.0,3.0,,,,4.0,3.0,3.0,4.0,1,Karir Linear
7.0,3.0,5.0,,,3,4.0,,5.0,3,3,,S1 Desain Komunikasi Visual,3.0,,,,,5.0,,5.0,,,,3,3,Pilihan,5.0,5.0,3.0,,,,5.0,-5.0,3.0,4.857142857142857,1,Karir Linear
0.0,0.0,4.0,Pilihan,Pilihan,3,1.0,,4.0,3,2,,S1 Desain Komunikasi Visual,3.0,,,,,0.0,,5.0,,,,3,2,,5.0,4.0,4.0,,,,3.0,4.0,2.857142857142857,3.7142857142857144,1,Karir Linear
0.0,0.0,5.0,,,3,4.0,,5.0,4,4,,S1 Desain Komunikasi Visual,4.0,,,,,0.0,,4.0,,,,4,4,,4.0,3.0,4.0,,,Pilihan,3.0,-1.0,3.857142857142857,4.0,1,Karir Linear
5.0,3.0,5.0,Pilihan,,5,3.0,,5.0,5,4,,S1 Desain Komunikasi Visual,3.0,,,,,3.0,,5.0,,,,3,5,,5.0,5.0,4.0,,,,4.0,-2.0,4.142857142857143,4.571428571428571,3,Karir Elit
3.0,2.0,3.0,,,4,3.0,,5.0,1,5,,S1 Desain Komunikasi Visual,3.0,,,,,3.0,,2.0,,,0,2,4,Pilihan,2.0,5.0,4.0,,,,2.0,-2.0,3.2857142857142856,3.142857142857143,0,Karir Lintas Jalur
10.0,1.0,4.0,,,3,3.0,,4.0,3,3,,S1 Desain Komunikasi Visual,3.0,,,,,2.0,,3.0,Pilihan,,0,3,3,,3.0,3.0,3.0,,,,4.0,-1.0,3.0,3.4285714285714284,0,Karir Lintas Jalur
5.0,3.0,5.0,Pilihan,,3,4.0,,4.0,3,3,,S1 Desain Komunikasi Visual,3.0,,,,,3.0,,5.0,,,0,3,3,,4.0,5.0,3.0,,,Pilihan,5.0,12.0,3.0,4.571428571428571,1,Karir Linear
15.0,7.0,4.0,Pilihan,,4,3.0,,4.0,3,3,,S1 Desain Komunikasi Visual,4.0,,,,,7.0,,4.0,,,0,4,4,Pilihan,4.0,4.0,4.0,Pilihan,,,4.0,3.0,3.7142857142857144,3.857142857142857,1,Karir Linear
20.0,8.0,4.0,,Pilihan,2,4.0,,4.0,4,2,,S1 Desain Interior,4.0,Pilihan,,,,12.0,,4.0,,,,3,3,Pilihan,4.0,4.0,3.0,,,,4.0,-3.0,3.0,4.0,3,Karir Elit
5.0,2.0,4.0,,,5,4.0,,5.0,3,4,,S1 Desain Interior,5.0,,,,,5.0,,4.0,,,0,5,3,Pilihan,5.0,4.0,5.0,,,,4.0,3.0,4.285714285714286,4.285714285714286,1,Karir Linear
15.0,6.0,5.0,Pilihan,,4,4.0,,5.0,4,4,,S1 Desain Interior,5.0,,,,,7.0,,5.0,,,0,5,5,Pilihan,5.0,5.0,5.0,,,,5.0,-2.0,4.571428571428571,4.857142857142857,0,Karir Lintas Jalur
5.0,2.0,3.0,Pilihan,,3,3.0,,3.0,3,3,,S1 Desain Interior,3.0,,,,,2.0,,3.0,,,0,4,3,,3.0,3.0,3.0,,Pilihan,Pilihan,3.0,1.0,3.142857142857143,3.0,2,Karir Tertunda
5.0,4.0,4.0,Pilihan,,4,3.0,,4.0,4,3,,S1 Akuntansi,3.0,,,,,4.0,,3.0,,,,3,4,,4.0,4.0,3.0,,,,4.0,12.0,3.4285714285714284,3.7142857142857144,2,Karir Tertunda
5.0,5.0,4.0,Pilihan,,5,3.0,,5.0,5,4,,S1 Akuntansi,2.0,,,,,5.0,,4.0,,,,3,2,Pilihan,5.0,4.0,3.0,,Pilihan,,4.0,48.0,3.4285714285714284,4.142857142857143,3,Karir Elit
0.0,0.0,5.0,,Pilihan,1,5.0,,5.0,4,5,,S1 Akuntansi,4.0,,,,,0.0,,5.0,,,,4,3,,5.0,5.0,4.0,,,,5.0,0.0,3.5714285714285716,5.0,3,Karir Elit
3.0,1.0,3.0,,,2,2.0,,3.0,3,2,,S1 Akuntansi,3.0,Pilihan,,,,1.0,,3.0,,,,1,1,,2.0,2.0,1.0,,,,3.0,3.0,1.8571428571428572,2.5714285714285716,3,Karir Elit
10.0,8.0,3.0,,Pilihan,3,3.0,,3.0,3,3,,S1 Akuntansi,2.0,,,,,8.0,,3.0,,,,3,3,Pilihan,3.0,3.0,3.0,,,,3.0,1.0,2.857142857142857,3.0,0,Karir Lintas Jalur
2.0,2.0,4.0,,,2,3.0,,4.0,4,3,,S1 Akuntansi,3.0,,,,,2.0,,4.0,,,,3,3,Pilihan,4.0,4.0,3.0,,,,4.0,-19.0,3.0,3.857142857142857,2,Karir Tertunda
15.0,8.0,4.0,Pilihan,,2,4.0,,5.0,3,3,,S1 Akuntansi,1.0,,,,Pilihan,8.0,Pilihan,4.0,,,,1,1,,4.0,5.0,3.0,,,,5.0,11.0,2.0,4.428571428571429,0,Karir Lintas Jalur
3.0,5.0,4.0,,,2,2.0,,5.0,5,3,,S1 Akuntansi,2.0,,,,,5.0,,4.0,,,,2,2,Pilihan,4.0,5.0,3.0,,,,5.0,12.0,2.7142857142857144,4.142857142857143,1,Karir Linear
3.0,3.0,4.0,,Pilihan,4,3.0,,5.0,4,3,,S1 Akuntansi,2.0,,,,,3.0,,5.0,,,,2,4,,4.0,5.0,3.0,,,,5.0,1.0,3.142857142857143,4.428571428571429,2,Karir Tertunda
20.0,5.0,5.0,,,3,3.0,,5.0,4,4,,S1 Akuntansi,3.0,,,,,5.0,,5.0,,,,4,3,,5.0,5.0,4.0,,Pilihan,,5.0,36.0,3.5714285714285716,4.714285714285714,2,Karir Tertunda
0.0,0.0,4.0,Pilihan,,3,4.0,,4.0,3,3,,S1 Akuntansi,3.0,,,,,0.0,,4.0,,,,3,3,,4.0,4.0,3.0,,,,4.0,48.0,3.0,4.0,2,Karir Tertunda
20.0,8.0,5.0,Pilihan,,3,5.0,,5.0,4,2,,S1 Akuntansi,2.0,,,,,8.0,,5.0,,,,1,2,Pilihan,2.0,5.0,1.0,Pilihan,Pilihan,,5.0,6.0,2.142857142857143,4.571428571428571,0,Karir Lintas Jalur
25.0,8.0,4.0,,,4,3.0,,4.0,4,4,,S1 Akuntansi,4.0,,,,,8.0,,4.0,Pilihan,,,4,4,Pilihan,4.0,4.0,4.0,,Pilihan,,4.0,2.0,4.0,3.857142857142857,1,Karir Linear
10.0,5.0,3.0,Pilihan,,1,2.0,,3.0,3,3,,S1 Akuntansi,1.0,,,,,5.0,,3.0,,,,1,1,,2.0,3.0,3.0,,,,3.0,3.0,1.8571428571428572,2.7142857142857144,0,Karir Lintas Jalur
7.0,2.0,4.0,,,4,,,,4,3,,S1 Akuntansi,3.0,,,,,2.0,,4.0,,,,2,3,,,4.0,3.0,,,,4.0,36.0,3.142857142857143,4.0,0,Karir Lintas Jalur
1.0,1.0,4.0,,,3,4.0,,4.0,4,4,,S1 Akuntansi,3.0,,,,,1.0,,4.0,,,,3,3,Pilihan,4.0,4.0,4.0,,,,4.0,0.0,3.4285714285714284,4.0,1,Karir Linear
6.0,4.0,2.0,,,2,2.0,,4.0,3,2,,S1 Akuntansi,3.0,,,,Pilihan,4.0,Pilihan,4.0,,,,3,2,,4.0,4.0,3.0,,,,4.0,3.0,2.5714285714285716,3.4285714285714284,2,Karir Tertunda
30.0,7.0,3.0,,,2,3.0,,3.0,4,3,,S1 Akuntansi,2.0,Pilihan,,,,10.0,,3.0,,,,2,2,Pilihan,3.0,3.0,2.0,,Pilihan,,4.0,6.0,2.4285714285714284,3.142857142857143,0,Karir Lintas Jalur
5.0,5.0,3.0,Pilihan,,3,3.0,,3.0,3,3,,S1 Akuntansi,3.0,,,,,10.0,,3.0,,,,3,3,Pilihan,3.0,3.0,3.0,,,,3.0,-2.0,3.0,3.0,0,Karir Lintas Jalur
4.0,3.0,4.0,Pilihan,,3,4.0,,5.0,3,3,,S1 Akuntansi,3.0,Pilihan,,,,3.0,,4.0,,,,3,3,,4.0,4.0,2.0,,,,5.0,4.0,2.857142857142857,4.285714285714286,0,Karir Lintas Jalur
6.0,3.0,5.0,Pilihan,,3,3.0,,5.0,5,4,,S1 Akuntansi,3.0,,,,,3.0,,4.0,,,,3,3,,4.0,4.0,4.0,,,,4.0,48.0,3.5714285714285716,4.142857142857143,2,Karir Tertunda
1.0,1.0,5.0,,,1,4.0,,5.0,4,4,,S1 Akuntansi,3.0,,,,,1.0,,5.0,,,,3,2,Pilihan,4.0,5.0,3.0,,,,5.0,48.0,2.857142857142857,4.714285714285714,2,Karir Tertunda
3.0,1.0,4.0,Pilihan,,3,3.0,,5.0,5,5,,S1 Akuntansi,5.0,,,,Pilihan,2.0,,5.0,,,,5,3,,4.0,5.0,4.0,,,,5.0,5.0,4.285714285714286,4.428571428571429,0,Karir Lintas Jalur
30.0,10.0,5.0,,,1,3.0,,5.0,4,3,,S1 Akuntansi,3.0,,,,,10.0,,5.0,,,,3,3,Pilihan,5.0,5.0,3.0,,,,5.0,24.0,2.857142857142857,4.714285714285714,2,Karir Tertunda
3.0,2.0,3.0,,,3,3.0,,4.0,4,4,,S1 Akuntansi,3.0,,,,Pilihan,2.0,,4.0,,,,3,3,,3.0,4.0,3.0,,,,4.0,48.0,3.2857142857142856,3.5714285714285716,2,Karir Tertunda
15.0,2.0,4.0,,,3,4.0,,4.0,3,3,,S1 Akuntansi,3.0,,,,,2.0,,4.0,,,,3,3,Pilihan,4.0,4.0,3.0,,,,4.0,11.0,3.0,4.0,0,Karir Lintas Jalur
3.0,2.0,5.0,Pilihan,,3,4.0,,5.0,3,3,,S1 Akuntansi,3.0,,,,Pilihan,2.0,,5.0,,,,3,3,,5.0,5.0,3.0,,,,5.0,48.0,3.0,4.857142857142857,2,Karir Tertunda
7.0,5.0,4.0,,,1,3.0,,4.0,5,4,,S1 Akuntansi,2.0,,,,,5.0,,3.0,,,,2,2,Pilihan,4.0,4.0,3.0,,,,4.0,2.0,2.7142857142857144,3.7142857142857144,1,Karir Linear
1.0,5.0,3.0,,,3,3.0,,3.0,3,3,,S1 Akuntansi,3.0,,,,,5.0,,3.0,,,,3,3,Pilihan,3.0,3.0,3.0,,,,3.0,1.0,3.0,3.0,1,Karir Linear
1.0,2.0,2.0,,,3,2.0,,3.0,3,3,,S1 Akuntansi,3.0,,,,,2.0,,3.0,Pilihan,,,3,3,,3.0,3.0,3.0,,,,3.0,15.0,3.0,2.7142857142857144,3,Karir Elit
3.0,2.0,5.0,Pilihan,,3,4.0,,5.0,4,5,,S1 Akuntansi,5.0,,,,,2.0,,5.0,,,,5,4,,5.0,4.0,4.0,,,,5.0,48.0,4.285714285714286,4.714285714285714,2,Karir Tertunda
5.0,5.0,5.0,,Pilihan,4,4.0,,5.0,5,4,,S1 Akuntansi,5.0,,,,,5.0,Pilihan,4.0,,,0,4,4,Pilihan,5.0,5.0,4.0,,,,5.0,12.0,4.285714285714286,4.714285714285714,3,Karir Elit
1.0,1.0,5.0,,,5,5.0,,5.0,5,4,,S1 Akuntansi,4.0,,,,,1.0,,4.0,,,0,4,5,Pilihan,5.0,5.0,5.0,,,,5.0,1.0,4.571428571428571,4.857142857142857,3,Karir Elit
5.0,3.0,4.0,,,4,4.0,,4.0,4,5,,S1 Akuntansi,3.0,,,Pilihan,,5.0,,4.0,,,0,3,3,Pilihan,4.0,4.0,3.0,,,,4.0,-1.0,3.5714285714285716,4.0,1,Karir Linear
2.0,1.0,3.0,,Pilihan,4,2.0,,5.0,5,4,,S1 Akuntansi,5.0,,,,,1.0,,4.0,,,0,2,2,,5.0,4.0,4.0,,,Pilihan,5.0,4.0,3.7142857142857144,4.0,1,Karir Linear
45.0,7.0,3.0,,,2,2.0,,4.0,2,3,,S1 Akuntansi,1.0,,,,,7.0,,4.0,,,CAP,2,2,Pilihan,4.0,4.0,2.0,,,,4.0,6.0,2.0,3.5714285714285716,1,Karir Linear
138.0,5.0,4.0,Pilihan,,4,3.0,,5.0,4,4,,S1 Akuntansi,4.0,,,,,10.0,,5.0,,,0,4,3,,5.0,5.0,4.0,,,,5.0,36.0,3.857142857142857,4.571428571428571,2,Karir Tertunda
50.0,1.0,3.0,,,3,3.0,,3.0,3,3,,S1 Akuntansi,3.0,Pilihan,,,,3.0,,3.0,,,0,3,3,Pilihan,3.0,3.0,3.0,,Pilihan,,3.0,6.0,3.0,3.0,1,Karir Linear
50.0,5.0,3.0,,,1,2.0,,1.0,1,1,,S1 Akuntansi,3.0,,,,,15.0,,1.0,,,"Brevet A dan B , English course Group",2,4,Pilihan,1.0,1.0,1.0,,,,1.0,6.0,1.8571428571428572,1.4285714285714286,3,Karir Elit
5.0,1.0,4.0,Pilihan,,3,3.0,,4.0,4,4,,S1 Akuntansi,4.0,,,,,1.0,Pilihan,4.0,,,Brevet AB,3,4,Pilihan,4.0,4.0,3.0,,Pilihan,,3.0,6.0,3.5714285714285716,3.7142857142857144,0,Karir Lintas Jalur
3.0,2.0,4.0,Pilihan,,3,3.0,,5.0,3,3,,S1 Akuntansi,3.0,,,,,3.0,,4.0,,,,3,3,,4.0,4.0,3.0,,,,5.0,3.0,3.0,4.142857142857143,0,Karir Lintas Jalur
20.0,10.0,5.0,,,4,5.0,,5.0,4,4,,S1 Akuntansi,5.0,,,,,10.0,,5.0,,,Brevet AB (Credential ID 3201.1116399),5,4,Pilihan,4.0,5.0,5.0,,,Pilihan,5.0,3.0,4.428571428571429,4.857142857142857,3,Karir Elit
4.0,3.0,1.0,,,2,2.0,,1.0,2,1,,S1 Akuntansi,1.0,,,,,4.0,,1.0,,,-,1,1,Pilihan,1.0,1.0,1.0,,,,1.0,36.0,1.2857142857142858,1.1428571428571428,1,Karir Linear
12.0,4.0,5.0,,,5,4.0,,5.0,5,4,,S1 Akuntansi,3.0,,,,,2.0,,4.0,,,0,3,4,,5.0,5.0,4.0,,,,4.0,0.0,4.0,4.571428571428571,1,Karir Linear
15.0,2.0,4.0,,Pilihan,4,3.0,,4.0,4,4,,S1 Akuntansi,3.0,,,Pilihan,,3.0,,5.0,,,0,3,3,,4.0,4.0,3.0,,,,5.0,48.0,3.4285714285714284,4.142857142857143,0,Karir Lintas Jalur
1.0,1.0,4.0,,,3,4.0,,4.0,4,4,,S1 Akuntansi,4.0,,,,,1.0,,4.0,,,0,4,3,,4.0,4.0,4.0,,,,4.0,0.0,3.7142857142857144,4.0,0,Karir Lintas Jalur
2.0,1.0,5.0,Pilihan,Pilihan,3,4.0,,5.0,4,3,,S1 Akuntansi,4.0,,,,,1.0,,5.0,,,0,2,2,Pilihan,5.0,5.0,2.0,,Pilihan,,5.0,-1.0,2.857142857142857,4.857142857142857,3,Karir Elit
53.0,17.0,4.0,,,2,3.0,,5.0,3,3,,S1 Akuntansi,2.0,,,,,17.0,,4.0,,,Program Accurate,3,2,Pilihan,4.0,4.0,3.0,,Pilihan,,4.0,36.0,2.5714285714285716,4.0,2,Karir Tertunda
10.0,10.0,5.0,,,5,5.0,,4.0,5,5,,S1 Akuntansi,2.0,,,,,10.0,,5.0,,,0,3,5,Pilihan,5.0,5.0,3.0,,,,5.0,-6.0,4.0,4.857142857142857,1,Karir Linear
3.0,2.0,3.0,,,3,3.0,,2.0,2,3,,S1 Akuntansi,4.0,,,,Pilihan,2.0,,2.0,,,0,3,4,,2.0,2.0,3.0,,,,2.0,46.0,3.142857142857143,2.2857142857142856,2,Karir Tertunda
4.0,2.0,1.0,,,1,4.0,,1.0,1,1,,S1 Akuntansi,1.0,,,,,2.0,,3.0,,,0,1,1,,2.0,2.0,1.0,,Pilihan,,2.0,6.0,1.0,2.142857142857143,3,Karir Elit
1.0,1.0,4.0,,,4,4.0,,5.0,4,4,,S1 Akuntansi,5.0,,,,,1.0,,4.0,,,Brevet A & B,4,4,,4.0,5.0,4.0,,,Pilihan,4.0,12.0,4.142857142857143,4.285714285714286,1,Karir Linear
11.0,7.0,5.0,Pilihan,,5,5.0,,5.0,5,5,,S1 Akuntansi,5.0,,,,,7.0,,5.0,,,0,5,5,Pilihan,5.0,5.0,5.0,,,,5.0,4.0,5.0,5.0,0,Karir Lintas Jalur
3.0,1.0,5.0,,,5,5.0,,5.0,5,5,,S1 Akuntansi,5.0,,,,,1.0,,5.0,,,0,5,5,Pilihan,5.0,5.0,5.0,,,,5.0,6.0,5.0,5.0,1,Karir Linear
20.0,10.0,4.0,Pilihan,,4,5.0,,5.0,4,4,,S1 Akuntansi,3.0,,,Pilihan,Pilihan,10.0,Pilihan,4.0,,,0,3,4,Pilihan,5.0,4.0,4.0,,Pilihan,,4.0,10.0,3.7142857142857144,4.428571428571429,1,Karir Linear
5.0,3.0,4.0,,,5,5.0,,5.0,4,5,,S1 Akuntansi,5.0,,,,,3.0,,4.0,,,0,5,5,Pilihan,3.0,5.0,5.0,,,,5.0,5.0,4.857142857142857,4.428571428571429,3,Karir Elit
100.0,22.0,4.0,,,4,4.0,,4.0,4,4,,S1 Akuntansi,4.0,,,,,30.0,,4.0,,,0,4,4,Pilihan,4.0,4.0,4.0,,,,4.0,-2.0,4.0,4.0,3,Karir Elit
10.0,1.0,5.0,Pilihan,,3,3.0,,4.0,4,3,,S1 Akuntansi,4.0,,,,,1.0,,4.0,,,0,2,3,,4.0,4.0,4.0,,,,4.0,-9.0,3.2857142857142856,4.0,0,Karir Lintas Jalur
4.0,4.0,5.0,,,5,5.0,,5.0,5,5,,S1 Akuntansi,5.0,,,,,4.0,,5.0,,,Certified Accurate Professional,5,5,Pilihan,5.0,5.0,5.0,Pilihan,Pilihan,,5.0,-4.0,5.0,5.0,3,Karir Elit
20.0,5.0,5.0,Pilihan,,5,4.0,,5.0,5,5,,S1 Akuntansi,5.0,,,,,5.0,,5.0,Pilihan,,0,5,5,Pilihan,5.0,5.0,5.0,,Pilihan,,5.0,36.0,5.0,4.857142857142857,2,Karir Tertunda
50.0,20.0,4.0,,,4,3.0,,4.0,4,4,,S1 Akuntansi,3.0,Pilihan,,,,10.0,,3.0,,,0,3,4,Pilihan,4.0,4.0,3.0,,,,4.0,36.0,3.5714285714285716,3.7142857142857144,2,Karir Tertunda
3.0,2.0,5.0,,,4,3.0,,5.0,5,5,,S1 Akuntansi,3.0,,,,,2.0,Pilihan,4.0,,,Serifikasi Brevet Pajak A & B masa berlaku hingga 2024,4,4,,4.0,5.0,5.0,,,,5.0,6.0,4.285714285714286,4.428571428571429,1,Karir Linear
11.0,6.0,5.0,,,4,4.0,,4.0,4,4,,S1 Akuntansi,4.0,,,,,6.0,,5.0,,,BREVET PAJAK A DAN B TERPADU DAN,4,4,Pilihan,4.0,4.0,4.0,,,,5.0,4.0,4.0,4.428571428571429,1,Karir Linear
2.0,2.0,3.0,Pilihan,,3,3.0,,5.0,5,5,,S1 Akuntansi,4.0,,,Pilihan,,2.0,,4.0,,,0,4,3,,3.0,4.0,5.0,,,,4.0,24.0,4.142857142857143,3.7142857142857144,2,Karir Tertunda
3.0,2.0,4.0,,,4,3.0,,5.0,4,3,,S1 Akuntansi,3.0,,,,,2.0,,5.0,,,Brevet Pajak AB,3,4,Pilihan,5.0,5.0,3.0,,,,5.0,12.0,3.4285714285714284,4.571428571428571,0,Karir Lintas Jalur
20.0,9.0,5.0,,,4,5.0,,4.0,4,3,,S1 Akuntansi,4.0,Pilihan,,,,9.0,,4.0,,,0,4,3,Pilihan,4.0,3.0,4.0,,,,4.0,3.0,3.7142857142857144,4.142857142857143,3,Karir Elit
10.0,3.0,5.0,,,5,4.0,,5.0,5,5,,S1 Akuntansi,5.0,,,,,5.0,,5.0,Pilihan,,0,5,5,,5.0,5.0,5.0,,,,5.0,48.0,5.0,4.857142857142857,0,Karir Lintas Jalur
10.0,3.0,5.0,,,4,3.0,,5.0,5,4,,S1 Akuntansi,4.0,,,,,6.0,,5.0,,,Sertifikasi Brevet AB di Tax Center Mercu Buana,5,4,Pilihan,4.0,5.0,4.0,,,,5.0,6.0,4.285714285714286,4.571428571428571,3,Karir Elit
5.0,4.0,4.0,,,3,4.0,,4.0,3,3,,S1 Akuntansi,3.0,,,,,4.0,,4.0,,,0,3,3,,4.0,4.0,3.0,,Pilihan,,4.0,12.0,3.0,4.0,1,Karir Linear
46.0,7.0,4.0,Pilihan,,2,4.0,,4.0,4,4,,S1 Akuntansi,2.0,,,,,9.0,,4.0,,,0,2,2,,4.0,4.0,2.0,,,,4.0,45.0,2.5714285714285716,4.0,2,Karir Tertunda
15.0,7.0,4.0,Pilihan,,4,3.0,,4.0,4,4,,S1 Akuntansi,4.0,,,,,7.0,,4.0,,,-,4,4,,4.0,4.0,4.0,,,,4.0,-1.0,4.0,3.857142857142857,3,Karir Elit
40.0,10.0,1.0,Pilihan,,2,3.0,,1.0,1,3,,S1 Akuntansi,2.0,,,,,14.0,,2.0,,,0,2,2,Pilihan,2.0,2.0,2.0,,,,2.0,-1.0,2.0,1.8571428571428572,0,Karir Lintas Jalur
5.0,3.0,4.0,,,4,4.0,,5.0,5,4,,S1 Akuntansi,4.0,,,,,3.0,,5.0,,,0,4,4,Pilihan,4.0,4.0,4.0,,,,5.0,24.0,4.142857142857143,4.428571428571429,1,Karir Linear
2.0,2.0,3.0,Pilihan,,4,3.0,,5.0,5,5,,S1 Akuntansi,3.0,,,,,2.0,,5.0,,,0,4,3,,3.0,5.0,3.0,,,,5.0,2.0,3.857142857142857,4.142857142857143,0,Karir Lintas Jalur
10.0,3.0,5.0,,,3,3.0,,5.0,3,3,,S1 Akuntansi,3.0,,,,,6.0,,4.0,,,0,3,3,Pilihan,4.0,4.0,3.0,,,,4.0,12.0,3.0,4.142857142857143,0,Karir Lintas Jalur
10.0,7.0,5.0,Pilihan,,4,2.0,,5.0,5,3,,S1 Akuntansi,4.0,,,,,10.0,,4.0,,,Sertifikasi Brevet A&B dari IAI,3,4,,4.0,5.0,4.0,,Pilihan,Pilihan,4.0,36.0,3.857142857142857,4.142857142857143,1,Karir Linear
10.0,5.0,4.0,Pilihan,,4,4.0,,4.0,4,4,,S1 Akuntansi,1.0,,,,,5.0,,4.0,,,0,1,1,,4.0,4.0,1.0,,,,4.0,42.0,2.2857142857142856,4.0,0,Karir Lintas Jalur
1.0,20.0,4.0,Pilihan,,4,3.0,,4.0,5,5,,S1 Akuntansi,3.0,,,,,20.0,,4.0,,,0,3,3,,4.0,4.0,5.0,,Pilihan,,4.0,1.0,4.0,3.857142857142857,1,Karir Linear
8.0,6.0,3.0,,,2,3.0,,3.0,4,3,,S1 Akuntansi,1.0,,,,,6.0,,3.0,,,USKP - A,2,2,Pilihan,4.0,3.0,2.0,,,,3.0,15.0,2.2857142857142856,3.142857142857143,1,Karir Linear
